Ticker,Event_Target_Date,Event_Actual_Date,Volatility_90d_Annualized,CAR_minus5_to_plus5
SURI.JK,2024-04-23,2024-04-23,1.5711720325892318,0.08013721908611127
SWAT.JK,2024-05-31,2024-05-31,0.0,-0.5525404332457602
TALF.JK,2024-03-28,2024-03-28,0.6974332831969116,-0.00039982763891741394
TAMA.JK,2024-03-29,2024-04-01,0.5268914505588765,-0.23835623633999736
TAMU.JK,2024-04-17,2024-04-17,0.6194568707310592,0.008002645502645529
TAPG.JK,2024-03-08,2024-03-08,0.22316159457217266,0.09996677532906356
TARA.JK,2024-03-28,2024-03-28,0.9737311508830901,0.024695767195767167
TAXI.JK,2024-05-09,2024-05-13,0.5544391830962714,-1.128368058071067
TAYS.JK,2024-04-01,2024-04-01,0.503495005331313,-0.0739828066366318
TBLA.JK,2024-03-29,2024-04-01,0.19892196183569763,-0.001743477440545804
TBMS.JK,2024-04-01,2024-04-01,0.7449333753825812,-0.006056922049247994
TCID.JK,2024-03-19,2024-03-19,0.5360916035162439,-8.034777307057341e-06
TCPI.JK,2024-03-27,2024-03-27,0.41304850625494893,0.04139828452555913
TFCO.JK,2024-04-01,2024-04-01,0.03455690395898074,-0.002204931869856101
TGKA.JK,2024-03-27,2024-03-27,0.2956452808022186,-0.011168710281685715
TIFA.JK,2024-03-15,2024-03-15,0.22739484094229057,-0.039147109804035365
TIRA.JK,2024-08-22,2024-08-22,0.934673651261009,0.09188473373970414
TIRT.JK,2024-03-28,2024-03-28,0.0,-0.7842254149307418
TKIM.JK,2024-04-01,2024-04-01,0.3391294589112897,0.04827189110349868
TLDN.JK,2024-03-31,2024-04-01,0.07157271782143645,-0.03484340610095425
TLKM.JK,2024-03-24,2024-03-25,0.18211890925585264,-0.14300598971522932
TMAS.JK,2024-03-05,2024-03-05,0.5053701946106782,-0.04170340285513967
TMPO.JK,2024-04-01,2024-04-01,0.43908005093606234,-0.07523751108981336
TOPS.JK,2024-06-10,2024-06-10,1.6370623291058786,1.5928306878306882
TOWR.JK,2024-04-02,2024-04-02,0.3229175952173231,-0.07965187818596228
TPMA.JK,2024-03-18,2024-03-18,0.3234194485778837,0.08663302091719102
TRGU.JK,2024-04-23,2024-04-23,0.287545318700071,-0.2033904808895405
TRJA.JK,2024-05-06,2024-05-06,0.44622131794956693,0.07156379589867423
TRUS.JK,2024-03-19,2024-03-19,0.6257704216791756,0.025954019300621578
TSPC.JK,2024-03-28,2024-03-28,0.24368043079620627,-0.04496714541925307
TYRE.JK,2024-03-31,2024-04-01,0.20485917759180364,-0.004070512467385556
UCID.JK,2024-02-26,2024-02-26,0.15719417788275422,0.05718651282224481
ULTJ.JK,2024-03-28,2024-03-28,0.3010049183086584,0.09595484487352349
UNIQ.JK,2024-03-25,2024-03-25,0.6254293906730677,0.18869135743747875
UNTD.JK,2024-04-10,2024-04-16,0.9079033642785893,-0.06536387027226438
UNTR.JK,2024-02-27,2024-02-27,0.26780838382843103,0.06329733582064985
UNVR.JK,2024-03-01,2024-03-01,0.33355202091055963,0.009721519052215914
VRNA.JK,2024-03-14,2024-03-14,0.2642048649736968,-0.01260318434931886
WIDI.JK,2024-04-04,2024-04-04,1.0850126288156567,-0.028977803807990088
WIFI.JK,2024-04-16,2024-04-16,0.19591251475506968,0.18422616346483908
WMPP.JK,2024-05-07,2024-05-07,0.6248344669142962,0.28160985892310986
WMUU.JK,2024-05-07,2024-05-07,0.6248344669142962,0.10736743468068549
WOMF.JK,2024-05-30,2024-05-30,0.2531044950714749,-0.019303687965346598
WOWS.JK,2024-03-28,2024-03-28,0.0,-0.7842254149307418
WTON.JK,2024-03-29,2024-04-01,0.47639752548577297,-0.1204464718852733
ZATA.JK,2024-04-03,2024-04-03,0.0,-1.0042401390044011
ZINC.JK,2024-03-31,2024-04-01,0.0,-0.8751345058398328
ZYRX.JK,2024-04-02,2024-04-02,0.20061698294836403,-0.08665852778156585
